hourly wage,experience,female,education
5.73,30,1,14
4.28,28,1,12
7.96,35,1,10
11.57,38,0,16
11.42,27,0,16
3.91,20,1,12
8.76,12,0,16
7.69,5,0,16
5,5,1,16
3.89,12,1,12
3.45,3,1,12
4.03,6,0,16
5.14,19,0,17
3,8,0,16
7.99,12,0,16
6.01,17,0,16
5.16,7,0,17
11.54,12,0,17
10.44,10,1,17
7.69,7,1,16
7.69,7,0,17
6.79,19,0,14
6.87,33,0,12
17.03,32,0,13
10.05,12,0,13
15.81,24,0,17
14.84,29,0,13
19.08,17,0,17
8.35,41,0,16
9.62,40,0,16
5.96,10,0,14
5.73,43,0,10
6.73,41,0,10
8.17,18,0,16
12.39,28,0,12
9.62,37,0,13
4.83,20,0,16
7.69,10,0,13
12.5,31,0,16
2.82,18,0,12
12.31,9,0,17
13.22,42,0,16
16.83,14,0,16
11.54,27,0,16
4.95,20,1,14
7.21,14,0,17
11.58,4,0,17
15.38,13,0,17
6.1,5,0,17
7.93,32,0,17
9.16,19,1,17
6.91,14,1,17
20.18,28,0,17
9.93,31,0,17
7.79,18,0,13
5.13,23,0,5
10.99,14,0,16
6.56,17,0,13
10.1,16,0,13
10.74,19,0,16
16.35,26,0,17
4.62,20,1,12
7.49,18,0,17
19.23,35,0,17
4.77,9,1,17
7.14,20,1,17
14.42,7,0,17
9.28,40,0,17
29.98,12,0,17
32.79,33,0,16
9.62,16,0,16
8.36,15,1,16
21.63,11,0,17
15.9,24,0,17
5.77,6,0,17
20.99,40,0,17
23.32,15,0,17
4.97,9,0,17
6.89,16,0,17
5.73,12,1,13
5.19,8,0,17
7.79,25,1,17
8.79,24,1,16
9.32,25,1,17
8.33,7,1,17
10.12,40,1,10
1.98,29,1,8
8.24,13,1,17
5.05,5,1,14
6.55,10,1,16
4.47,25,0,13
7.96,10,1,16
6.25,20,0,17
4.13,7,0,16
6.73,25,1,13
7.69,8,1,17
4.35,8,1,14
7.69,28,0,14
4.81,37,0,16
5.24,31,0,17
2.14,24,0,16
4.49,33,0,17
3.61,8,0,17
5.45,33,0,17
5,30,0,17
6.73,23,0,17
10.05,24,0,16
6.54,4,0,17
9.2,40,1,17
4.62,1,1,16
3.37,36,1,13
5.54,7,1,17
6.11,7,1,12
4.99,14,1,13
5.88,7,1,17
5.66,11,1,16
4,6,0,16
6.87,23,1,16
4.37,19,1,17
5.77,30,0,13
5.77,21,0,17
12.31,9,0,17
19.08,29,0,17
7.55,9,1,17
5.9,18,1,17
6.37,26,1,17
6.15,21,0,17
1.92,12,1,17
3.27,11,0,17
2.18,18,0,17
5.62,22,0,17
9.29,38,1,17
6.41,10,1,17
7.46,22,1,16
6.59,16,1,17
6.73,20,1,17
5.61,14,1,16
3.65,14,1,16
13.01,15,0,17
6.97,18,0,17
7.69,21,1,17
6.73,15,0,16
5.13,10,1,17
2.14,6,1,16
4.53,8,1,14
9.1,18,1,17
9.78,15,1,17
3.63,11,1,13
7.21,20,1,17
10.62,18,1,17
4.62,10,1,17
6.54,26,1,14
12.12,35,1,17
7.21,30,1,16
6.25,6,1,16
3.85,13,1,17
3.03,10,1,16
2.01,16,1,16
3.9,5,1,17
6.35,11,1,17
2,6,1,14
7.69,22,0,17
2.63,4,1,12
5,15,1,17
6.54,7,1,17
5.19,10,1,16
9.75,8,1,16
2.81,14,1,13
4.62,11,0,17
7.33,34,0,17
7.69,12,0,17
3.26,10,0,17
5.77,11,1,17
5.59,8,0,17
5.13,28,0,16
14.74,24,0,17
3.67,8,1,17
9.73,13,0,17
3.46,4,0,13
6.37,43,0,17
6.58,30,1,16
10.15,16,0,16
9.23,19,0,17
6.75,21,0,17
10.22,26,1,17
4.76,8,0,16
1.76,24,1,17
12.73,15,0,17
5.85,26,0,12
3.17,6,0,16
5.99,19,0,12
4.62,4,0,12
1.8,23,0,13
5.95,25,0,13
7.46,18,0,12
8.7,27,0,13
3.75,16,0,10
7.69,20,0,12
5.24,12,0,14
10.1,35,0,12
3.75,36,0,12
5.79,35,0,13
5.06,5,0,17
7.96,15,0,13
12.82,44,0,12
8.46,28,0,13
3.76,2,1,13
2.86,43,0,12
11.81,30,0,10
7.69,26,0,12
7.21,40,0,12
2.88,7,1,13
5.73,10,1,12
4.49,37,0,12
9.57,27,0,17
3.61,5,0,17
7.77,14,0,13
9.23,16,0,16
5.58,4,0,17
5.34,39,0,16
5.17,32,0,12
6.41,16,0,17
7.4,10,1,17
6.75,15,0,17
8.46,10,0,17
4.61,10,1,13
8.61,12,1,12
5.24,4,0,16
15.38,12,0,17
2.37,15,1,12
6.72,37,1,12
9.4,23,0,14
7.84,15,0,16
15,10,0,17
4.7,14,1,12
11.28,17,0,13
11.97,24,0,16
13.99,13,0,17
3,5,1,13
3.41,20,1,12
9.62,29,0,14
6.73,10,0,16
9.62,36,0,13
5.19,15,1,13
4.62,26,1,12
5.03,13,1,14
9.84,26,0,14
5.29,9,0,12
10.99,40,0,12
7.08,28,0,16
8.17,12,0,16
5.88,25,1,13
7.92,18,1,13
4.44,9,0,17
6.64,9,0,13
15.8,30,0,17
9.23,40,1,14
12.82,36,0,17
14.18,30,0,16
11.54,27,0,12
9.4,22,0,12
10.39,40,0,13
5.54,40,0,12
7.86,21,0,14
8.17,36,0,13
4.05,16,1,12
7.81,36,0,10
2.56,18,0,13
12.98,11,0,16
41.67,16,0,13
4.81,12,1,13
1.32,2,0,10
3.71,4,0,16
4.81,21,0,16
4.68,4,0,12
8.21,32,1,17
4.03,7,1,16
4.81,5,0,13
15.63,23,0,16
7.69,23,0,5
7.17,14,0,13
8.08,13,0,16
9.03,28,0,13
6.75,35,0,14
8.44,16,0,13
6,12,0,17
6.15,7,0,17
4.1,25,0,12
14.17,22,0,13
6.41,22,0,17
31.09,32,0,13
10.29,35,0,13
5.06,28,0,12
6.37,18,0,13
2.98,11,1,17
13.28,40,0,13
4.2,10,0,13
8.92,40,0,12
2.63,7,1,16
26.24,24,0,12
7.54,36,0,12
8.65,34,0,13
20.99,44,0,16
10.26,44,0,13
8.55,30,0,16
2.08,23,0,12
3,5,0,13
6.01,25,0,16
10.05,14,0,13
5.73,5,0,12
5.93,20,0,12
4.49,1,0,10
5.66,13,0,16
10.19,15,0,12
20.99,35,0,12
9.05,20,0,12
3.92,12,0,12
4.28,7,1,16
2.75,7,1,16
2.88,32,0,12
6.41,13,0,13
7.69,15,0,13
3.75,33,1,10
6.41,48,0,8
11.54,38,0,16
11.4,28,0,16
2.2,18,1,13
1.65,24,1,13
6.59,27,0,12
11.06,24,0,5
1.63,16,0,10
3.58,44,1,12
12.31,14,0,16
6.66,16,0,12
10.53,18,1,16
1.92,18,1,13
19.23,15,0,13
7.21,41,0,12
25.64,28,0,16
3.85,24,0,12
10.99,13,0,12
10.02,22,0,13
5.31,18,0,13
7.19,40,0,13
3.82,17,0,13
9.62,17,0,12
9.62,20,0,16
3.85,30,0,12
7.5,30,0,12
6.92,22,0,12
7.69,7,0,12
9.23,23,0,14
1.27,8,1,13
4.82,31,0,10
6.75,30,0,12
8.55,26,0,13
6.41,24,0,12
7.44,12,0,13
1.32,37,1,12
4.81,16,1,14
14.35,23,0,16
2.4,9,0,10
3.08,14,0,14
10.66,8,0,13
7.69,41,0,16
2.54,5,0,13
6.38,30,0,12
4.81,12,0,17
3.82,24,1,12
7.4,19,0,13
7.69,20,0,12
8.24,23,1,14
2.63,3,0,8
5.31,20,0,13
3,45,0,5
5.7,31,0,12
17.49,23,0,13
3.89,7,0,13
16.14,23,0,10
18.32,25,0,13
10.42,28,0,8
24.73,36,0,12
7.61,14,0,13
10,41,0,17
1.68,15,0,10
5.1,34,0,17
7.72,20,0,16
13.46,20,0,16
17.48,35,0,17
1.92,25,0,10
5.09,38,0,13
6.37,16,1,17
5.45,6,0,16
3.82,14,0,13
20.86,34,0,8
6.2,8,0,17
26.22,17,0,17
2.5,27,0,12
8.1,13,0,13
6.21,42,0,12
5.24,11,0,16
5.57,12,0,12
7.6,43,0,12
17.49,18,0,16
10.1,17,0,16
4.33,4,0,13
5.38,40,0,12
5.7,14,0,16
15.73,32,0,12
3.16,13,1,12
7.63,34,0,13
7.69,10,0,16
3.57,25,0,10
5.92,11,0,13
13.12,40,0,13
38.86,29,0,13
1.92,30,1,13
10.12,20,0,16
12.82,12,0,16
5.49,20,1,13
14.79,29,0,17
10.19,15,0,17
2.11,37,1,10
9.28,11,0,13
5.33,19,0,13
9.13,13,0,13
9.89,41,0,10
6.37,11,0,10
4,26,1,12
5.09,7,0,13
5.13,21,0,12
2.47,1,1,16
3.29,26,1,10
3.95,1,1,12
3.04,12,1,12
2.27,3,1,12
3.34,5,1,12
4.9,5,0,13
7.21,6,0,14
3.44,1,0,12
2.4,6,1,12
8.26,38,0,12
10.68,38,0,12
4.62,37,0,13
7.55,26,0,13
6.75,42,0,13
7.69,42,0,12
7.25,10,0,14
8.74,16,0,12
4.62,34,0,13
3.33,17,0,12
4.81,12,1,12
